direction, station|Glasgow Queen Street|0, station|Bishopbriggs|3.6, station|Lenzie|7.5, station|Croy|12.6, station|Falkirk High|23.8, station|Polmont|31.2, station|Linlithgow|33.2, station|Haymarket|44.9, station|Edinburgh|46.2
W, 13:51, , , 13:36, 13:27, , , 13:05, 13:00
W, 14:06, , , , 13:46, 13:41, 13:35, 13:20, 13:15
W, 14:19, , , 14:05, 13:56, , , 13:35, 13:30
W, 14:36, , , , 14:15, 14:11, 14:04, 13:49, 13:45
W, 14:48, , , 14:34, 14:25, , , 14:04, 14:00
W, 15:06, , , , 14:46, 14:41, 14:35, 14:19, 14:15
W, 15:21, , , 15:06, 14:57, , , 14:35, 14:30
W, 15:36, , , , 15:16, 15:11, 15:05, 14:50, 14:45
W, 15:51, , , 15:36, 15:26, , , 15:05, 15:00
W, 16:06, , , , 15:46, 15:41, 15:35, 15:20, 15:15
W, 16:21, , , 16:06, 15:56, , , 15:34, 15:30
W, 16:36, , , , 16:16, 16:11, 16:05, 15:50, 15:45
W, 16:52, , , 16:36, 16:26, , , 16:05, 16:00
W, 17:07, , , , 16:47, 16:42, 16:35, 16:20, 16:15
W, 17:21, , , 17:06, 16:55, , , 16:34, 16:30
W, 17:39, , , , 17:19, 17:14, 17:07, 16:51, 16:45
W, 17:51, , , 17:36, 17:26, , , 17:05, 17:00
W, 18:07, , , , 17:47, 17:42, 17:35, 17:20, 17:15
W, 18:24, , 18:11, 18:06, 17:56, , , 17:35, 17:30
W, 18:39, , , , 18:19, 18:14, 18:07, 17:50, 17:45
W, 18:50, , , 18:36, 18:26, , , 18:06, 18:00
W, 19:09, , , , 18:48, 18:43, 18:36, 18:21, 18:15
W, 19:20, , , 19:06, 18:55, , , 18:34, 18:30
W, 19:36, , , , 19:16, 19:11, 19:05, 18:49, 18:45
W, 19:51, , , 19:36, 19:27, , , 19:05, 19:00
W, 20:09, , , , 19:46, 19:42, 19:35, 19:20, 19:15
W, 20:24, , , 20:10, 20:01, , 19:52, 19:35, 19:30
W, 20:51, , , , 20:31, 20:26, 20:20, 20:05, 20:00
W, 21:25, , , 21:10, 21:01, , 20:52, 20:35, 20:30
W, 21:25, , , 21:10, 21:01, , 20:52, 20:35, 20:30
W, 21:25, , , 21:10, 21:01, , 20:52, 20:35, 20:30
W, 21:51, , , , 21:31, 21:26, 21:20, 21:05, 21:00
W, 22:25, , , 22:10, 21:59, , 21:50, 21:34, 21:30
W, 22:25, , , 22:10, 21:59, , 21:50, 21:34, 21:30
W, 22:25, , , 22:10, 21:59, , 21:50, 21:34, 21:30
W, 22:51, , , , 22:30, 22:25, 22:19, 22:04, 22:00
W, 23:22, , , 23:08, 22:59, , 22:50, 22:34, 22:30
W, 23:22, , , 23:08, 22:59, , 22:50, 22:34, 22:30
W, 23:22, , , 23:08, 22:59, , 22:50, 22:34, 22:30
W, 23:59, 23:50, 23:46, 23:40, 23:30, 23:26, 23:19, 23:05, 23:00
W, 24:27, , 24:16, 24:11, 24:01, 23:56, 23:49, 23:34, 23:30
